"Search query: (""ATP Binding Cassette""[Title/Abstract] OR ""ABC transporter""[Title/Abstract]) AND (chemoresistance OR ""drug resistance"")"
Year,Count
2025,163
2024,176
2023,184
2022,195
2021,249
2020,246
2019,234
2018,221
2017,190
2016,192
2015,264
2014,246
2013,199
2012,172
2011,175
2010,154
2009,158
2008,127
2007,136
2006,136
2005,128
2004,98
2003,95
2002,84
2001,74
2000,56
1999,41
1998,42
1997,46
1996,39
1995,26
1994,26
1993,9
1992,6
1991,1
1990,2
