Search query: (ABCC1[Title/Abstract] OR MRP1[Title/Abstract]) AND (cancer OR tumor) AND (resistance OR chemoresistance)
Year,Count
2025,81
2024,94
2023,98
2022,99
2021,144
2020,129
2019,148
2018,132
2017,132
2016,130
2015,135
2014,146
2013,143
2012,129
2011,120
2010,123
2009,115
2008,112
2007,125
2006,117
2005,137
2004,120
2003,110
2002,111
2001,100
2000,70
1999,41
1998,21
1997,11
1996,2
1995,3
