Search query: (ABCG2[Title/Abstract] OR BCRP[Title/Abstract]) AND (cancer OR tumor OR carcinoma) AND (chemoresistance OR resistance)
Year,Count
2025,189
2024,183
2023,212
2022,212
2021,256
2020,284
2019,283
2018,272
2017,253
2016,256
2015,307
2014,298
2013,293
2012,261
2011,236
2010,215
2009,196
2008,170
2007,151
2006,123
2005,146
2004,96
2003,52
2002,43
2001,25
2000,15
1999,3
1998,1
